discipline_title,slug_game,city_host,country_host,continent_host,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Fencing,paris-1900,Paris,France,Europe,foil masters men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/lucien-merignac,Lucien MERIGNAC,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,foil masters men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/alphonse-kirchhoffer,Alphonse KIRCHHOFFER,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,foil masters men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jean-baptiste-mimiague,Jean-Baptiste MIMIAGUE,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,sabre individual men,Men,GOLD,Athlete,,,"Gabriel, Count de la Falaise",France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,sabre individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/leon-thiebaut,Léon THIEBAUT,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,sabre individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/siegfried-flesch,Siegfried FLESCH,Austria,AT,AUT
Fencing,paris-1900,Paris,France,Europe,foil individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/emile-coste,Emile COSTE,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,foil individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/henri-masson,Henri MASSON,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,foil individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/marcel-jacques-boulenger,Marcel Jacques BOULENGER,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,pe masters men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/albert-ayat,Albert AYAT,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,pe masters men,Men,SILVER,Athlete,,,Gilbert Bougnol,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,pe masters men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/henri-laurent,Henri LAURENT,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,épée individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ramon-fonst,Ramon FONST,Cuba,CU,CUB
Fencing,paris-1900,Paris,France,Europe,épée individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/louis-perree,Louis PERREE,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,épée individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/leon-see,Léon SEE,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,sabre masters men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/antonio-conte,Antonio CONTE,Italy,IT,ITA
Fencing,paris-1900,Paris,France,Europe,sabre masters men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/italo-santelli,Italo SANTELLI,Italy,IT,ITA
Fencing,paris-1900,Paris,France,Europe,sabre masters men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/milan-neralic,Milan NERALIC,Austria,AT,AUT
Fencing,paris-1900,Paris,France,Europe,pe amateurs and masters men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/albert-ayat,Albert AYAT,France,FR,FRA
Fencing,paris-1900,Paris,France,Europe,pe amateurs and masters men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/ramon-fonst,Ramon FONST,Cuba,CU,CUB
Fencing,paris-1900,Paris,France,Europe,pe amateurs and masters men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/leon-see,Léon SEE,France,FR,FRA
Cycling Track,paris-1900,Paris,France,Europe,25 kilometres men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/louis-bastien-1,Louis BASTIEN,France,FR,FRA
Cycling Track,paris-1900,Paris,France,Europe,25 kilometres men,Men,SILVER,Athlete,,,Lloyd Hildebrand,Great Britain,GB,GBR
Cycling Track,paris-1900,Paris,France,Europe,25 kilometres men,Men,BRONZE,Athlete,,,Auguste Daumain,France,FR,FRA
Cycling Track,paris-1900,Paris,France,Europe,Sprint individual men,Men,GOLD,Athlete,,,Albert Taillandier,France,FR,FRA
Cycling Track,paris-1900,Paris,France,Europe,Sprint individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/fernand-sanz,Fernand SANZ,France,FR,FRA
Cycling Track,paris-1900,Paris,France,Europe,Sprint individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/john-henry-lake,John Henry LAKE,United States of America,US,USA
Cycling Track,paris-1900,Paris,France,Europe,Course De Primes Men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/enrico-brusoni,Enrico BRUSONI,Italy,IT,ITA
Cycling Track,paris-1900,Paris,France,Europe,Course De Primes Men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/karl-duill,Karl DUILL,Germany,DE,GER
Cycling Track,paris-1900,Paris,France,Europe,Course De Primes Men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/louis-trousselier,Louis TROUSSELIER,France,FR,FRA
Tug of War,paris-1900,Paris,France,Europe,tug of war men,Men,GOLD,GameTeam,Mixed team,,,MIX,,MIX
Tug of War,paris-1900,Paris,France,Europe,tug of war men,Men,SILVER,GameTeam,Racing Club de France,,,MIX,,MIX
Football,paris-1900,Paris,France,Europe,football men,Men,GOLD,GameTeam,Upton Park FC,,,Great Britain,GB,GBR
Football,paris-1900,Paris,France,Europe,football men,Men,SILVER,GameTeam,USFSA,,,France,FR,FRA
Football,paris-1900,Paris,France,Europe,football men,Men,BRONZE,GameTeam,Univ. of Brussels,,,MIX,,MIX
Water Polo,paris-1900,Paris,France,Europe,water polo men,Men,GOLD,GameTeam,"Osborne Swimming Club, Manchester",,,MIX,,MIX
Water Polo,paris-1900,Paris,France,Europe,water polo men,Men,SILVER,GameTeam,Brussels Swimming and Water Polo Club,,,Belgium,BE,BEL
Water Polo,paris-1900,Paris,France,Europe,water polo men,Men,BRONZE,GameTeam,Libellule de Paris #1,,,MIX,,MIX
Water Polo,paris-1900,Paris,France,Europe,water polo men,Men,BRONZE,GameTeam,Pupilles de Neptune de Lille #2 #1,,,France,FR,FRA
Shooting,paris-1900,Paris,France,Europe,free rifle team men,Men,GOLD,GameTeam,Switzerland team,,,Switzerland,CH,SUI
Shooting,paris-1900,Paris,France,Europe,free rifle team men,Men,SILVER,GameTeam,Norway team,,,Norway,NO,NOR
Shooting,paris-1900,Paris,France,Europe,free rifle team men,Men,BRONZE,GameTeam,France team,,,France,FR,FRA
Shooting,paris-1900,Paris,France,Europe,army rifle 300m prone men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/achille-paroche,Achille PAROCHE,France,FR,FRA
Shooting,paris-1900,Paris,France,Europe,army rifle 300m prone men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/anders-peter-nielsen,Anders Peter NIELSEN,Denmark,DK,DEN
Shooting,paris-1900,Paris,France,Europe,army rifle 300m prone men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ole-ostmo,Ole ÖSTMO,Norway,NO,NOR
Shooting,paris-1900,Paris,France,Europe,army rifle 300m standing men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/lars-jorgen-madsen,Lars Jörgen MADSEN,Denmark,DK,DEN
Shooting,paris-1900,Paris,France,Europe,army rifle 300m standing men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/ole-ostmo,Ole ÖSTMO,Norway,NO,NOR
Shooting,paris-1900,Paris,France,Europe,army rifle 300m standing men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/charles-paumier-du-vergier,Charles PAUMIER DU VERGIER,Belgium,BE,BEL
Shooting,paris-1900,Paris,France,Europe,50m pistol 60 shots men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/karl-konrad-roderer,Karl Konrad RÖDERER,Switzerland,CH,SUI
Shooting,paris-1900,Paris,France,Europe,50m pistol 60 shots men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/achille-paroche,Achille PAROCHE,France,FR,FRA
Shooting,paris-1900,Paris,France,Europe,50m pistol 60 shots men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/konrad-staheli,Konrad STÄHELI,Switzerland,CH,SUI
Shooting,paris-1900,Paris,France,Europe,50m army pistol team men,Men,GOLD,GameTeam,Switzerland team,,,Switzerland,CH,SUI
Shooting,paris-1900,Paris,France,Europe,50m army pistol team men,Men,SILVER,GameTeam,France team,,,France,FR,FRA
Shooting,paris-1900,Paris,France,Europe,50m army pistol team men,Men,BRONZE,GameTeam,Netherlands team,,,Netherlands,NL,NED
Shooting,paris-1900,Paris,France,Europe,trap 125 targets men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/roger-de-barbarin,Roger DE BARBARIN,France,FR,FRA
Shooting,paris-1900,Paris,France,Europe,trap 125 targets men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/rene-guyot,René GUYOT,Belgium,BE,BEL
Shooting,paris-1900,Paris,France,Europe,trap 125 targets men,Men,BRONZE,Athlete,,,"Justinien, Count Clary",France,FR,FRA
Shooting,paris-1900,Paris,France,Europe,army rifle 300m 3 positions men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/emil-kellenberger,Emil KELLENBERGER,Switzerland,CH,SUI
Shooting,paris-1900,Paris,France,Europe,army rifle 300m 3 positions men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/anders-peter-nielsen,Anders Peter NIELSEN,Denmark,DK,DEN
Shooting,paris-1900,Paris,France,Europe,army rifle 300m 3 positions men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ole-ostmo,Ole ÖSTMO,Norway,NO,NOR
Shooting,paris-1900,Paris,France,Europe,army rifle 300m 3 positions men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/paul-van-asbroeck,Paul VAN ASBROECK,Belgium,BE,BEL
Shooting,paris-1900,Paris,France,Europe,army rifle 300m kneeling men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/konrad-staheli,Konrad STÄHELI,Switzerland,CH,SUI
Shooting,paris-1900,Paris,France,Europe,army rifle 300m kneeling men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/anders-peter-nielsen,Anders Peter NIELSEN,Denmark,DK,DEN
Shooting,paris-1900,Paris,France,Europe,army rifle 300m kneeling men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/emil-kellenberger,Emil KELLENBERGER,Switzerland,CH,SUI
Golf,paris-1900,Paris,France,Europe,Individual men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/charles-edward-sands,Charles Edward SANDS,United States of America,US,USA
Golf,paris-1900,Paris,France,Europe,Individual men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/walter-rutherford,Walter RUTHERFORD,Great Britain,GB,GBR
Golf,paris-1900,Paris,France,Europe,Individual men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/david-donaldson-robertson,David Donaldson ROBERTSON,Great Britain,GB,GBR
Golf,paris-1900,Paris,France,Europe,Individual women,Women,GOLD,Athlete,,https://olympics.com/en/athletes/margaret-ives-abbott,Margaret Ives ABBOTT,United States of America,US,USA
Golf,paris-1900,Paris,France,Europe,Individual women,Women,SILVER,Athlete,,,Polly Whittier,United States of America,US,USA
Golf,paris-1900,Paris,France,Europe,Individual women,Women,BRONZE,Athlete,,,Abbie Pratt,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,high jump standing men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ray-ewry,Ray EWRY,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,high jump standing men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving BAXTER,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,high jump standing men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lewis-pendleton-sheldon,Lewis Pendleton SHELDON,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,marathon men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/michel-theato,Michel THEATO,Luxembourg,LU,LUX
Athletics,paris-1900,Paris,France,Europe,marathon men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/emile-champion,Emile CHAMPION,France,FR,FRA
Athletics,paris-1900,Paris,France,Europe,marathon men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ernst-fast,Ernst FAST,Sweden,SE,SWE
Athletics,paris-1900,Paris,France,Europe,pole vault men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving BAXTER,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,pole vault men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/meredith-bright-colkett,Meredith Bright COLKETT,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,pole vault men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/carl-albert-andersen,Carl Albert ANDERSEN,Norway,NO,NOR
Athletics,paris-1900,Paris,France,Europe,800m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alfred-tysoe,Alfred TYSOE,Great Britain,GB,GBR
Athletics,paris-1900,Paris,France,Europe,800m men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/john-cregan,John CREGAN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,800m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/david-hall,David HALL,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,triple jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/meyer-prinstein,Meyer PRINSTEIN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,triple jump men,Men,SILVER,Athlete,,,James B. Connolly,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,triple jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lewis-pendleton-sheldon,Lewis Pendleton SHELDON,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,400m men,Men,GOLD,Athlete,,,Maxey Long,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,400m men,Men,SILVER,Athlete,,,Bill Holland,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,400m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/ernst-schultz,Ernst SCHULTZ,Denmark,DK,DEN
Athletics,paris-1900,Paris,France,Europe,200m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alvin-kraenzlein,Alvin KRAENZLEIN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,200m hurdles men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/norman-pritchard,Norman PRITCHARD,India,IN,IND
Athletics,paris-1900,Paris,France,Europe,200m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/walter-b-john-tewksbury,Walter B. John TEWKSBURY,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,400m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/walter-b-john-tewksbury,Walter B. John TEWKSBURY,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,400m hurdles men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/henri-tauzin,Henri TAUZIN,France,FR,FRA
Athletics,paris-1900,Paris,France,Europe,400m hurdles men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/george-orton,George ORTON,Canada,CA,CAN
Athletics,paris-1900,Paris,France,Europe,long jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alvin-kraenzlein,Alvin KRAENZLEIN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,long jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/meyer-prinstein,Meyer PRINSTEIN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,long jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/patrick-joseph-leahy,Patrick Joseph LEAHY,Great Britain,GB,GBR
Athletics,paris-1900,Paris,France,Europe,110m hurdles men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alvin-kraenzlein,Alvin KRAENZLEIN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,110m hurdles men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/john-mclean,John MCLEAN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,110m hurdles men,Men,BRONZE,Athlete,,,Fred Moloney,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,1500m men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/charles-bennett,Charles BENNETT,Great Britain,GB,GBR
Athletics,paris-1900,Paris,France,Europe,1500m men,Men,SILVER,Athlete,,,Henry Deloge,France,FR,FRA
Athletics,paris-1900,Paris,France,Europe,1500m men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/john-bray,John BRAY,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,3000m steeplechase men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/george-orton,George ORTON,Canada,CA,CAN
Athletics,paris-1900,Paris,France,Europe,3000m steeplechase men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/sidney-robinson-1,Sidney ROBINSON,Great Britain,GB,GBR
Athletics,paris-1900,Paris,France,Europe,3000m steeplechase men,Men,BRONZE,Athlete,,,Jean Chastanié,France,FR,FRA
Athletics,paris-1900,Paris,France,Europe,shot put men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/richard-sheldon,Richard SHELDON,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,shot put men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/josiah-mccracken,Josiah MCCRACKEN,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,shot put men,Men,BRONZE,Athlete,,,Bob Garrett,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,long jump standing men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ray-ewry,Ray EWRY,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,long jump standing men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving BAXTER,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,long jump standing men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/emile-torcheboeuf,Emile TORCHEBOEUF,France,FR,FRA
Athletics,paris-1900,Paris,France,Europe,high jump men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/irving-baxter,Irving BAXTER,United States of America,US,USA
Athletics,paris-1900,Paris,France,Europe,high jump men,Men,SILVER,Athlete,,https://olympics.com/en/athletes/patrick-joseph-leahy,Patrick Joseph LEAHY,Great Britain,GB,GBR
Athletics,paris-1900,Paris,France,Europe,high jump men,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/lajos-gonczy,Lajos GÖNCZY,Hungary,HU,HUN
Athletics,paris-1900,Paris,France,Europe,5000m team men,Men,GOLD,GameTeam,Amateur Athletic Association,,,MIX,,MIX
Athletics,paris-1900,Paris,France,Europe,5000m team men,Men,SILVER,GameTeam,Racing Club de France,,,France,FR,FRA
Athletics,paris-1900,Paris,France,Europe,4000m steeplechase men,Men,GOLD,Athlete,,https://olympics.com/en/athletes/john-rimmer,John RIMMER,Great Britain,GB,GBR
