discipline_title	slug_game	city_host	country_host	continent_host	event_title	event_gender	medal_type	participant_type	participant_title	athlete_url	athlete_full_name	country_name	country_code	country_3_letter_code
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles men	Men	SILVER	GameTeam	Austria team	https://olympics.com/en/athletes/arthur-zborzil	Arthur ZBORZIL	Austria	AT	AUT
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles men	Men	BRONZE	GameTeam	France team	https://olympics.com/en/athletes/albert-henri-canet	Albert Henri CANET	France	FR	FRA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	doubles men	Men	BRONZE	GameTeam	France team	https://olympics.com/en/athletes/edouard-marie-marc-meny-de-marangue	Edouard Marie Marc MENY DE MARANGUE	France	FR	FRA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	Singles men	Men	GOLD	Athlete		https://olympics.com/en/athletes/charles-lyndhurst-winslow	Charles Lyndhurst WINSLOW	South Africa	ZA	RSA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	Singles men	Men	SILVER	Athlete		https://olympics.com/en/athletes/harry-austin-kitson	Harry Austin KITSON	South Africa	ZA	RSA
Tennis	stockholm-1912	Stockholm	Sweden	Europe	Singles men	Men	BRONZE	Athlete		https://olympics.com/en/athletes/oscar-kreuzer	Oscar KREUZER	Germany	DE	GER
Sailing	stockholm-1912	Stockholm	Sweden	Europe	10m mixed	Open	GOLD	GameTeam	Kitty #1			Sweden	SE	SWE
Sailing	stockholm-1912	Stockholm	Sweden	Europe	10m mixed	Open	SILVER	GameTeam	Nina			Finland	FI	FIN
Sailing	stockholm-1912	Stockholm	Sweden	Europe	10m mixed	Open	BRONZE	GameTeam	Gallia II			Russian Federation	RU	RUS
Sailing	stockholm-1912	Stockholm	Sweden	Europe	6m mixed	Open	GOLD	GameTeam	Mac Miche			France	FR	FRA
Sailing	stockholm-1912	Stockholm	Sweden	Europe	6m mixed	Open	SILVER	GameTeam	Nurdug II			Denmark	DK	DEN
Sailing	stockholm-1912	Stockholm	Sweden	Europe	6m mixed	Open	BRONZE	GameTeam	Kerstin #1			Sweden	SE	SWE
Sailing	stockholm-1912	Stockholm	Sweden	Europe	12m mixed	Open	GOLD	GameTeam	Magda IX			Norway	NO	NOR
Sailing	stockholm-1912	Stockholm	Sweden	Europe	12m mixed	Open	SILVER	GameTeam	Erna Signe			Sweden	SE	SWE
Sailing	stockholm-1912	Stockholm	Sweden	Europe	12m mixed	Open	BRONZE	GameTeam	Heatherbell			Finland	FI	FIN
Sailing	stockholm-1912	Stockholm	Sweden	Europe	8m mixed	Open	GOLD	GameTeam	Taifun			Norway	NO	NOR
Sailing	stockholm-1912	Stockholm	Sweden	Europe	8m mixed	Open	SILVER	GameTeam	Sans Atout #1			Sweden	SE	SWE
Sailing	stockholm-1912	Stockholm	Sweden	Europe	8m mixed	Open	BRONZE	GameTeam	Lucky Girl #1			Finland	FI	FIN
Athletics	stockholm-1912	Stockholm	Sweden	Europe	200m men	Men	GOLD	Athlete		https://olympics.com/en/athletes/ralph-craig	Ralph CRAIG	United States of America	US	USA
Athletics	stockholm-1912	Stockholm	Sweden	Europe	200m men	Men	SILVER	Athlete		https://olympics.com/en/athletes/donald-lippincott	Donald LIPPINCOTT	United States of America	US	USA
